ID	Host_Optatus	Unrelated	IDNum	HostParents	HostParentShort	HostCommon	EggGens	EggClade	Gens	GensEvidence	Species	Species_Latin	Shape	SpeciesShort	Sex	Plumage	MeanCoverage	MedianCoverage	Coverage_mtDNA	Coverage_Ratio_mtDNAAutosomes	Raw_Reads_M	Mapped_Reads_M	Percent_Reads_Mapped	Raw_Bases_Gb	Mapped_Bases_Gb	Bases_Mapped_Percent	Latitude	Longitude	Age	Source	Sampling_Year	Country	Habitat	Hap
228_CB_GBC_CHN_F	1	0	228	Saxicola_ferreus	S. ferreus	Grey Bushchat	S. ferreus	E1	pure_blue	Observed	Common cuckoo	C. c. bakeri	22	CC	F	Missing	13.52	13	288.17	22.92521877	138.0276	137.068056	0.993048173	20.70414	20.5237459	0.991287052	26.16666667	105.4	Young	Tissue	2020	CHN	Edge	W2
229_CB_GBC_CHN_M	1	1	229	Saxicola_ferreus	S. ferreus	Grey Bushchat	S. ferreus	E1	pure_blue	Observed	Common cuckoo	C. c. bakeri	22	CC	M	Missing	15.68	14	2647.16	204.8885449	163.42388	160.02329	0.979191597	24.513582	23.48319723	0.95796678	26.16666667	105.4	Young	Tissue	2020	CHN	Edge	W2
230_CB_ASC_CHN_M	1	1	230	Saxicola_maurus	S. maurus	Siberian Stonechat	S. maurus	E1	pure_blue	Observed	Common cuckoo	C. c. bakeri	22	CC	M	Missing	13.95	12	14952.95	1223.645663	177.159774	175.709404	0.991813209	26.5739661	25.97834173	0.977586169	26.16666667	105.4	Young	Tissue	2019	CHN	Edge	W2
231_CC_ORW_CHN_F	1	1	231	Acrocephalus_orientalis	A. orientalis	Oriental Reed Warbler	A. orientalis	E2	light_white_with_black_spots	Observed	Common cuckoo	C. c. canorus	21	CC	F	Missing	13.51	13	850.85	66.73333333	141.339638	140.43702	0.993613837	21.2009457	21.03192283	0.992027579	46.23333333	124.4333333	Young	Tissue	2020	CHN	Savannas	W3
232_CC_ORW_CHN_M	1	1	232	Acrocephalus_orientalis	A. orientalis	Oriental Reed Warbler	A. orientalis	E2	light_white_with_black_spots	Observed	Common cuckoo	C. c. canorus	21	CC	M	Missing	12.58	12	1352.42	117.2957502	132.890756	129.564924	0.974973188	19.9336134	19.40494754	0.973478674	46.23333333	124.4333333	Young	Tissue	2020	CHN	Savannas	W3
234_CC_ORW_CHN_M	1	0	234	Acrocephalus_orientalis	A. orientalis	Oriental Reed Warbler	A. orientalis	E2	light_white_with_black_spots	Observed	Common cuckoo	C. c. canorus	21	CC	M	Missing	13.34	13	1453.4	120.5140962	137.213754	136.441248	0.994370054	20.5820631	20.36254127	0.989334314	46.23333333	124.4333333	Young	Tissue	2020	CHN	Savannas	W3
235_CC_ORW_CHN_M	1	1	235	Acrocephalus_orientalis	A. orientalis	Oriental Reed Warbler	A. orientalis	E2	light_white_with_black_spots	Observed	Common cuckoo	C. c. canorus	21	CC	M	Missing	13.94	13	480.74	36.64176829	144.634458	142.691158	0.986564059	21.6951687	21.36786637	0.984913584	47.43333333	124.4166667	Young	Blood	2019	CHN	Savannas	W3
236_CC_ORW_CHN_M	1	0	236	Acrocephalus_orientalis	A. orientalis	Oriental Reed Warbler	A. orientalis	E2	light_white_with_black_spots	Observed	Common cuckoo	C. c. canorus	21	CC	M	Missing	13.71	13	546.1	43.03388495	139.901722	138.960278	0.993270676	20.9852583	20.81338142	0.991809637	47.38333333	124.3666667	Young	Blood	2019	CHN	Savannas	W3
237_CC_ORW_CHN_F	1	0	237	Acrocephalus_orientalis	A. orientalis	Oriental Reed Warbler	A. orientalis	E2	light_white_with_black_spots	Observed	Common cuckoo	C. c. canorus	21	CC	F	Missing	13.68	13	672.94	52.65571205	137.163994	136.137028	0.99251286	20.5745991	20.38634485	0.990850162	47.55	124.5333333	Young	Blood	2019	CHN	Croplands	W3
238_CC_ORW_CHN_F	1	1	238	Acrocephalus_orientalis	A. orientalis	Oriental Reed Warbler	A. orientalis	E2	light_white_with_black_spots	Observed	Common cuckoo	C. c. canorus	21	CC	F	Missing	12.62	12	676.6	58.93728223	137.259358	131.689112	0.959418097	20.5889037	19.71702032	0.957652753	47.6	124.5833333	Young	Blood	2019	CHN	Croplands	W3
239_CC_ORW_CHN_F	1	0	239	Acrocephalus_orientalis	A. orientalis	Oriental Reed Warbler	A. orientalis	E2	light_white_with_black_spots	Observed	Common cuckoo	C. c. canorus	21	CC	F	Missing	11.33	11	827.93	78.32828761	135.91849	117.21258	0.86237406	20.3877735	17.54861568	0.860742134	47.41666667	124.4	Young	Blood	2019	CHN	Croplands	W3
240_CC_ORW_CHN_M	1	1	240	Acrocephalus_orientalis	A. orientalis	Oriental Reed Warbler	A. orientalis	E2	light_white_with_black_spots	Observed	Common cuckoo	C. c. canorus	21	CC	M	Missing	14.62	14	852.26	61.05014327	141.58812	139.34272	0.984141325	21.238218	20.86472059	0.982413901	47.65	124.6333333	Young	Blood	2019	CHN	Savannas	W3
241_CC_ORW_CHN_M	1	0	241	Acrocephalus_orientalis	A. orientalis	Oriental Reed Warbler	A. orientalis	E2	light_white_with_black_spots	Observed	Common cuckoo	C. c. canorus	21	CC	M	Missing	9.75	9	2975.82	329.9135255	135.825292	112.232816	0.826302777	20.3737938	16.80367266	0.824768957	47.51666667	124.5	Young	Blood	2019	CHN	Croplands	W3
242_CC_ORW_CHN_F	1	1	242	Acrocephalus_orientalis	A. orientalis	Oriental Reed Warbler	A. orientalis	E2	light_white_with_black_spots	Observed	Common cuckoo	C. c. canorus	21	CC	F	Missing	12.31	11	2841.17	249.2254386	135.679858	129.65649	0.955606027	20.3519787	19.38015708	0.952249281	47.61666667	124.6	Young	Blood	2019	CHN	Savannas	W3
