#IID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
297_CC_UNK_RUS_M	0.0181425	-0.0148921	0.105509	0.0537445	-0.0565196	0.0192117	-0.0142333	0.014472	0.032957	-0.0186173
298_CC_UNK_RUS_M	-0.00620212	-0.014526	0.0901839	0.0491597	-0.0513511	0.0385149	-0.0164115	0.0273657	0.036304	-0.0024839
299_CC_UNK_RUS_F	-0.0110963	-0.0102639	0.0903982	0.0433681	-0.0479507	0.0384996	-0.0175691	0.0138512	0.0372193	-0.00387898
300_CC_UNK_RUS_M	0.000257614	-0.0159634	0.0929852	0.0507674	-0.0587172	0.0244052	-0.0168305	0.0243018	0.0356956	-0.016223
301_CC_UNK_RUS_F	0.0206505	-0.00589247	0.0953695	0.0457195	-0.0453113	0.0206904	-0.00110598	0.0140781	0.0425631	-0.0105499
303_CC_UNK_RUS_M	-0.0436019	0.00147283	0.0609548	0.025357	-0.0297618	0.0583371	-0.0130054	0.0023014	0.0222197	-0.0068094
304_CC_UNK_RUS_F	-0.0578632	-0.0042959	0.00555964	0.0181006	-0.0227033	0.048027	-0.0350077	0.013323	-0.0185606	0.000837209
328_CC_SCC_RUS_F	-0.0156639	-0.0112694	0.0752977	0.0478987	-0.0495978	0.0343571	-0.0193949	0.0299622	0.0303852	-0.0115642
375_CC_PLW_RUS_F	0.111751	-0.154726	-0.0448336	0.0268145	0.217616	0.107261	0.00992214	0.00849722	0.000119069	0.00020675
389_CC_ACW_RUS_F	0.0894174	-0.105841	0.0869418	0.0980066	-0.0834533	-0.245589	-0.0628265	-0.0346891	-0.0228927	0.00576732
392_CC_UNK_RUS_M	-0.0420806	-0.00456673	0.0515624	0.032623	-0.0406368	0.0590161	-0.0154808	0.0144229	0.0165139	0.00154554
393_CC_UNK_RUS_F	0.0590732	-0.0545015	0.0763171	0.058935	-0.0507872	-0.0873518	-0.0282183	-0.00997635	0.0147689	-0.00238867
395_CC_UNK_RUS_M	0.091093	-0.114891	0.0943338	0.108669	-0.0967552	-0.289596	-0.0723531	-0.0424998	-0.0225582	0.00301046
396_CC_UNK_RUS_M	-0.0451051	0.016886	0.0618781	0.0174245	-0.008957	0.0537734	0.00933345	-0.0521054	0.0495916	-0.0240144
397_CC_UNK_RUS_M	-0.039114	0.0300382	0.0906383	0.0274185	-0.0119764	0.0695238	0.0276894	-0.0545583	0.0938831	-0.0175789
398_CC_UNK_RUS_M	-0.0418956	0.00125493	0.0628175	0.0298259	-0.0258261	0.0550378	-0.0103759	0.00834879	0.0189854	-0.0124387
399_CC_UNK_RUS_M	-0.0416503	-0.000429447	0.0707039	0.0231685	-0.0320684	0.0610268	-0.0143017	-0.00715165	0.0387984	-0.00835245
408_CC_TBW_RUS_F	0.0904294	-0.0296593	-0.00461517	-0.0076994	-0.00439918	-0.00250551	0.0172594	-0.000749615	-0.00624058	0.00168136
410_CC_GRW_HUN_F	-0.0648563	-0.00248047	0.0344604	-0.115145	0.0702228	-0.0803632	0.0246105	0.0331753	0.0391293	0.093117
