ID	Contributor	Contributor_ID	SRA_Biosample	SRA_Accessions	Already_Released_SRA	Analysis_PopulationGenetics	Analysis_SNAPP	Analysis_GensAssociations	Analysis_GeneHunt	IDNum	Egg	EggCol	EggShape	EggOrder	HostParents	HostParentShort	HostCommon	Species	Species_Latin	Shape	SpeciesShort	Sex	Age	Source	Latitude	Longitude	CountryFull	HostColor	HostShape	Sampling_Year	GeographicGroup	GeoOrder	GeoShape	GeoColor	Haplogroup	HaplogroupColor	Habitat	AncestryA5	AncestryColor	MeanCoverage	MedianCoverage	Coverage_mtDNA	Coverage_Ratio_mtDNAAutosomes	Raw_Reads_M	Mapped_Reads_M	Percent_Reads_Mapped	Raw_Bases_Gb	Mapped_Bases_Gb	Bases_Mapped_Percent
056_CC_COR_BGR_F	Frode Fossøy & Bård Stokke	016_CB_BUL07_cb72	SAMN14589817	SRR11531749	Unreleased	1	0	0	0	056	NA	NA	8	16	Emberiza_calandra	E. calandra	Corn Bunting	Common cuckoo	C. c. canorus	21	CC	F	Young	Tissue	43.788364	23.45133	Bulgaria	#F05B12FF	18	2007	GCC4	4	24	#FFB86D	MCC7	#33A02C	Croplands	ACC4	#636363	14.26	11	1318.83	95.5673913	149.818658	148.214366	0.989291774	22.4727987	22.18406466	0.987151843
057_CC_COR_BGR_F	Frode Fossøy & Bård Stokke	225_CB_BUL08_CB58-C1	SAMN14589818	SRR11531738	Unreleased	1	0	0	0	057	NA	NA	8	16	Emberiza_calandra	E. calandra	Corn Bunting	Common cuckoo	C. c. canorus	21	CC	F	Young	Blood	43.788364	23.45133	Bulgaria	#F05B12FF	18	2008	GCC4	4	24	#FFB86D	MCC5	#FB9A99	Croplands	ACC4	#636363	15.31	14	304.25	20.6832087	158.837456	157.51248	0.99165829	23.8256184	23.58920976	0.990077544
058_CC_COR_BGR_F	Frode Fossøy & Bård Stokke	249_CB_BUL08_CB41	SAMN14589819	SRR11531737	Unreleased	1	1	1	1	058	ECC6	#D55E00	23	6	Emberiza_calandra	E. calandra	Corn Bunting	Common cuckoo	C. c. canorus	21	CC	F	Young	Tissue	43.71	23.86	Bulgaria	#F05B12FF	18	2008	GCC4	4	24	#FFB86D	MCC7	#33A02C	Croplands	ACC4	#636363	15.83	15	1641.26	106.5753247	160.173896	158.911852	0.992120789	24.0260844	23.80410982	0.990761101
059_CC_COR_BGR_M	Frode Fossøy & Bård Stokke	042_CB_BUL07_cb132	SAMN14589820	SRR11531709	Unreleased	1	0	0	0	059	NA	NA	8	16	Emberiza_calandra	E. calandra	Corn Bunting	Common cuckoo	C. c. canorus	21	CC	M	Young	Tissue	43.788364	23.45133	Bulgaria	#F05B12FF	18	2007	GCC4	4	24	#FFB86D	MCC7	#33A02C	Croplands	ACC4	#636363	17.63	13	799.16	47.39976275	190.112846	187.827314	0.987978024	28.5169269	28.13273071	0.986527434
061_CC_GRW_BGR_F	Frode Fossøy & Bård Stokke	293_GRW_BUL09_GR21	SAMN14589822	SRR11531707	Unreleased	1	1	1	1	061	ECC6	#D55E00	23	6	Acrocephalus_arundinaceus	A. arundinaceus	Great Reed Warbler	Common cuckoo	C. c. canorus	21	CC	F	Young	Tissue	43.788364	23.45133	Bulgaria	#46F884FF	15	2009	GCC4	4	24	#FFB86D	MCC7	#33A02C	Croplands	ACC4	#636363	19.61	18	2168.45	113.8891807	215.126208	213.575118	0.99278986	32.2689312	31.99463623	0.991499719
062_CC_GRW_BGR_F	Frode Fossøy & Bård Stokke	049_GRW_BUL06_012/06	SAMN14589823	SRR11531718	Unreleased	1	1	1	1	062	ECC6	#D55E00	23	6	Acrocephalus_arundinaceus	A. arundinaceus	Great Reed Warbler	Common cuckoo	C. c. canorus	21	CC	F	Young	Tissue	43.788364	23.45133	Bulgaria	#46F884FF	15	2006	GCC4	4	24	#FFB86D	MCC7	#33A02C	Croplands	ACC4	#636363	16.62	15	619.23	38.43761639	171.837944	170.322616	0.991181645	25.7756916	25.50597104	0.989535856
063_CC_GRW_BGR_F	Frode Fossøy & Bård Stokke	051_GRW_BUL06_017SL	SAMN14589824	SRR11531712	Unreleased	1	1	1	1	063	ECC6	#D55E00	23	6	Acrocephalus_arundinaceus	A. arundinaceus	Great Reed Warbler	Common cuckoo	C. c. canorus	21	CC	F	Young	Tissue	43.788364	23.45133	Bulgaria	#46F884FF	15	2006	GCC4	4	24	#FFB86D	MCC7	#33A02C	Croplands	ACC4	#636363	14.03	13	309.64	23.03869048	146.681388	145.470422	0.991744242	22.0022082	21.78053116	0.989924782
064_CC_GRW_BGR_M	Frode Fossøy & Bård Stokke	053_GRW_BUL06_OR4	SAMN14589825	SRR11531726	Unreleased	1	0	1	0	064	ECC6	#D55E00	23	6	Acrocephalus_arundinaceus	A. arundinaceus	Great Reed Warbler	Common cuckoo	C. c. canorus	21	CC	M	Young	Tissue	43.788364	23.45133	Bulgaria	#46F884FF	15	2006	GCC4	4	24	#FFB86D	MCC7	#33A02C	Croplands	ACC4	#636363	15.53	14	1118.88	73.41732283	166.390438	164.905756	0.991077119	24.9585657	24.69035451	0.989253742
065_CC_GRW_BGR_M	Frode Fossøy & Bård Stokke	054_GRW_BUL06_GRWRC	SAMN14589826	SRR11531750	Unreleased	1	0	0	0	065	NA	NA	8	16	Acrocephalus_arundinaceus	A. arundinaceus	Great Reed Warbler	Common cuckoo	C. c. canorus	21	CC	M	Young	Tissue	43.788364	23.45133	Bulgaria	#46F884FF	15	2006	GCC4	4	24	#FFB86D	MCC4	#FF7F00	Croplands	ACC4	#636363	14.32	13	968.33	70.88799414	149.501136	148.498342	0.993292399	22.4251704	22.24648169	0.992031779
066_CC_GRW_BGR_F	Frode Fossøy & Bård Stokke	057_GRW_BUL06_OR10	SAMN14589827	SRR11531730	Unreleased	1	1	1	1	066	ECC6	#D55E00	23	6	Acrocephalus_arundinaceus	A. arundinaceus	Great Reed Warbler	Common cuckoo	C. c. canorus	21	CC	F	Young	Tissue	43.788364	23.45133	Bulgaria	#46F884FF	15	2006	GCC4	4	24	#FFB86D	MCC7	#33A02C	Croplands	ACC4	#636363	14.37	12	449.81	34.33664122	163.44966	161.907924	0.990567518	24.517449	24.13599976	0.984441724
